地区,F
北京市,0.04962798375232702
天津市,0.023894270634432307
河北省,-0.07075574174738544
山西省,-0.4189100037756172
内蒙古自治区,-0.20730689665490623
辽宁省,-0.16018413911770646
吉林省,-0.44405137920569593
黑龙江省,-0.4893621896571251
上海市,0.2563221289322438
江苏省,1.0936233023141464
浙江省,0.8992542489983358
安徽省,0.3865482992091658
福建省,0.3009231213000899
江西省,-0.16584678384516632
山东省,1.003310458570495
河南省,0.6700808269213266
湖北省,0.16122541940162377
湖南省,0.10048211576026642
广东省,1.28263416237079
广西壮族自治区,-0.1790213054765123
海南省,-0.38476786721528256
重庆市,-0.14443698951856207
四川省,0.20421459002566164
贵州省,-0.2934528831967395
云南省,-0.36314730507881865
西藏自治区,-0.6859859898398716
陕西省,-0.1841279051224404
甘肃省,-0.6909855516363097
青海省,-0.7282278891681387
宁夏回族自治区,-0.4988342764011148
新疆维吾尔自治区,-0.32273583153350427
